female,age,coupon,start,time,churn,followtime
0,60,0,325,1645,0,40
1,14,1,66,577,1,299
0,67,1,122,618,1,243
1,35,1,219,680,0,146
1,20,0,56,413,1,309
1,38,0,263,1304,1,102
1,54,1,359,784,1,6
0,52,1,85,771,1,280
1,43,0,43,65,1,65
1,33,0,251,1297,1,114
0,47,1,347,351,1,18
0,63,0,19,609,1,346
1,39,0,206,739,1,159
0,55,0,139,100,0,100
0,65,1,76,404,0,289
0,81,1,356,446,0,9
1,72,0,82,918,1,283
0,51,0,94,1023,0,271
1,29,0,61,1097,0,304
1,85,1,180,1421,0,185
0,34,1,98,935,1,267
0,33,0,42,49,0,49
1,39,0,196,849,1,169
0,23,0,342,825,0,23
0,50,0,110,1594,1,255
0,78,0,10,716,1,355
0,57,0,223,140,0,140
0,25,1,185,1209,1,180
1,74,1,149,1098,0,216
1,35,1,90,1062,0,275
0,34,0,256,807,0,109
0,58,1,201,697,1,164
1,20,1,358,588,0,7
1,38,0,145,528,1,220
0,42,1,336,527,1,29
1,81,0,166,1424,1,199
0,25,0,115,741,0,250
1,44,0,333,1202,1,32
0,43,0,214,117,0,117
1,78,0,112,0,1,0
0,82,0,95,1485,0,270
1,18,0,339,1044,1,26
0,35,0,290,262,1,75
0,63,0,132,908,0,233
1,24,1,190,1190,0,175
0,75,1,63,181,1,181
1,85,1,67,598,1,298
0,71,0,1,1663,1,364
1,48,0,324,1088,0,41
0,57,0,148,428,1,217
1,82,1,103,807,1,262
1,62,1,274,512,1,91
0,33,1,182,849,1,183
1,61,1,224,53,0,53
0,78,0,252,193,0,113
1,33,1,343,45,1,22
0,20,1,263,554,0,102
0,57,1,138,1065,0,227
0,78,0,320,224,1,45
1,51,0,32,82,0,82
1,17,0,303,1017,0,62
0,76,0,54,351,0,311
1,57,1,56,1442,1,309
0,24,0,331,1074,0,34
0,76,0,341,1407,0,24
0,83,1,114,1524,0,251
0,22,1,102,1144,1,263
1,37,1,313,305,0,52
1,70,0,315,764,0,50
1,73,0,225,1528,1,140
0,65,1,51,1290,1,314
1,46,1,337,917,1,28
0,45,0,336,57,0,29
0,19,1,91,227,1,227
1,45,1,303,881,0,62
1,76,0,245,120,0,120
1,16,0,284,895,1,81
1,30,1,289,378,1,76
0,13,0,25,1004,0,340
0,38,0,53,5,0,5
1,24,1,355,38,0,10
0,66,1,275,953,0,90
0,61,1,4,1392,0,361
1,54,0,167,507,0,198
0,77,0,296,1302,0,69
0,55,0,272,715,1,93
0,75,1,220,1869,0,145
0,76,0,267,1031,0,98
0,78,0,196,751,1,169
1,62,0,202,1514,0,163
1,61,0,284,1076,1,81
1,33,1,47,160,0,160
1,23,0,228,403,0,137
1,64,1,56,345,1,309
0,66,1,177,874,1,188
1,76,0,326,1424,0,39
1,40,0,113,1286,0,252
1,28,0,37,1088,0,328
0,82,1,100,953,0,265
1,56,1,256,301,1,109
1,73,0,182,1513,1,183
1,15,1,101,21,1,21
0,47,1,341,945,0,24
0,85,0,282,644,1,83
0,24,1,223,964,1,142
1,82,1,258,1178,0,107
1,49,0,311,1478,0,54
0,64,0,77,458,1,288
1,83,0,101,127,0,127
1,54,0,272,211,0,93
0,32,1,324,24,0,24
0,33,1,43,484,0,322
1,53,0,289,821,1,76
0,73,1,151,127,1,127
0,43,0,250,736,0,115
1,22,1,333,698,0,32
1,83,1,153,389,0,212
1,52,0,311,1162,0,54
0,54,0,87,1467,1,278
0,30,0,209,159,0,156
0,75,1,344,1610,0,21
0,43,0,28,377,1,337
0,80,1,260,1501,1,105
1,49,1,291,962,1,74
0,41,0,288,197,1,77
1,42,0,348,480,1,17
0,21,1,171,84,0,84
0,69,0,105,1162,0,260
0,57,0,232,1086,1,133
0,74,0,187,740,1,178
0,54,1,230,1053,0,135
0,20,0,43,290,0,290
0,70,1,128,1566,1,237
0,15,1,135,692,1,230
1,60,0,352,1495,0,13
0,20,1,333,1117,1,32
0,28,0,222,1195,1,143
0,30,0,34,239,1,239
0,68,1,63,522,0,302
1,75,1,137,169,0,169
0,73,1,151,806,0,214
0,45,1,237,879,1,128
0,35,1,338,73,1,27
0,63,1,353,1602,0,12
0,25,0,234,302,1,131
1,18,1,203,1193,1,162
1,82,0,10,882,1,355
1,83,0,10,1795,0,355
0,71,0,214,108,0,108
1,40,1,127,700,1,238
1,46,0,114,725,1,251
0,66,0,83,791,0,282
1,53,1,30,1133,0,335
0,59,1,27,1706,1,338
0,56,0,322,3,1,3
1,20,1,33,839,0,332
1,31,1,121,347,0,244
1,34,1,99,296,1,266
1,26,0,240,711,0,125
1,40,1,272,1079,0,93
1,57,0,267,32,1,32
0,75,0,162,378,1,203
0,28,0,270,1084,0,95
1,69,0,88,395,1,277
0,76,0,210,502,0,155
0,77,0,154,1213,1,211
0,75,1,352,377,0,13
1,39,1,201,16,1,16
0,30,1,35,680,1,330
0,46,1,135,1452,1,230
0,56,1,268,1478,0,97
0,19,0,311,136,0,54
0,84,0,96,1344,1,269
1,24,0,357,337,1,8
1,78,0,206,1628,1,159
0,76,0,132,1023,1,233
1,76,1,14,226,1,226
0,64,0,336,1084,1,29
0,27,0,265,227,0,100
1,49,0,95,1093,1,270
1,27,1,10,832,0,355
1,33,0,24,1144,0,341
0,31,0,278,785,1,87
0,79,1,226,230,1,139
0,81,0,244,3,1,3
0,33,1,352,382,1,13
0,72,1,26,171,1,171
1,14,1,108,721,1,257
1,66,1,250,824,0,115
0,71,1,187,544,0,178
1,48,0,70,428,0,295
1,14,0,280,191,0,85
0,74,1,156,806,1,209
0,22,0,176,561,0,189
1,27,1,257,620,1,108
0,18,1,29,330,1,330
1,58,0,160,1177,1,205
0,84,0,304,1860,0,61
1,46,1,92,338,0,273
1,59,1,135,1221,1,230
1,14,0,359,1022,0,6
0,44,0,331,717,1,34
1,51,1,9,971,1,356
0,50,1,234,543,0,131
0,38,1,114,601,1,251
0,38,1,327,1561,0,38
0,43,1,107,29,0,29
1,20,0,254,81,1,81
0,33,0,11,1201,1,354
1,77,0,295,1358,0,70
0,27,1,316,626,1,49
1,34,0,321,989,1,44
0,51,1,200,123,1,123
0,26,0,94,859,1,271
1,51,1,131,1007,0,234
1,39,0,159,433,1,206
1,14,0,12,65,0,65
0,38,1,361,1178,1,4
1,25,1,85,672,1,280
0,41,0,296,603,1,69
0,77,1,38,1888,1,327
0,67,0,259,1519,0,106
1,31,0,54,757,0,311
1,68,1,42,138,0,138
0,49,0,224,1160,1,141
0,38,0,172,1249,1,193
1,33,0,259,1271,0,106
0,82,0,98,870,1,267
1,75,0,323,1537,0,42
0,85,1,229,975,0,136
1,40,0,316,788,0,49
1,23,1,253,913,1,112
0,55,1,242,213,1,123
0,43,0,249,330,1,116
1,46,1,224,1475,1,141
1,13,1,131,1011,0,234
1,42,1,91,628,1,274
0,61,1,216,698,1,149
1,65,1,106,194,0,194
0,20,0,136,855,1,229
0,85,0,200,657,1,165
1,62,1,64,33,1,33
1,18,1,330,927,0,35
1,42,1,132,228,0,228
1,38,1,40,174,0,174
1,37,0,175,609,1,190
0,42,0,91,473,1,274
0,64,0,329,1448,1,36
0,85,1,268,1813,1,97
1,51,0,201,26,0,26
0,13,1,2,429,1,363
0,36,0,339,50,0,26
1,39,1,204,1164,0,161
1,54,0,286,287,0,79
1,68,1,364,691,0,1
0,61,0,348,459,1,17
0,85,0,143,1816,0,222
0,79,0,39,945,0,326
1,77,1,135,1435,0,230
0,70,1,86,123,1,123
0,47,1,106,1090,1,259
1,72,0,217,1196,1,148
1,31,1,283,132,1,82
1,72,1,150,34,0,34
0,83,1,18,605,0,347
0,30,0,9,227,1,227
0,30,0,346,920,0,19
1,40,0,193,1429,1,172
1,46,0,145,384,1,220
1,32,1,38,373,0,327
0,47,0,258,423,1,107
0,18,1,188,877,1,177
1,34,1,281,406,1,84
1,62,1,130,1585,0,235
0,45,0,122,529,1,243
1,74,1,296,1459,1,69
1,69,1,200,1183,1,165
0,84,0,239,1583,0,126
1,56,1,103,698,1,262
0,83,1,140,880,0,225
1,56,0,335,1040,1,30
1,18,1,113,1347,0,252
1,43,1,197,233,1,168
0,37,1,260,1256,0,105
1,85,0,161,859,0,204
1,21,0,8,876,1,357
0,41,1,135,1262,1,230
0,61,0,112,2,1,2
0,40,0,345,261,0,20
0,53,0,120,1354,0,245
0,67,1,348,1322,0,17
1,48,0,345,803,0,20
1,49,0,352,1380,1,13
1,63,0,31,385,1,334
0,71,1,183,583,0,182
0,22,1,339,330,1,26
1,23,1,249,92,0,92
1,21,0,233,277,1,132
1,48,0,157,806,1,208
0,38,1,332,898,1,33
0,65,1,88,482,1,277
0,80,1,184,1178,0,181
1,61,0,319,1010,0,46
0,53,1,176,516,1,189
0,22,1,188,572,1,177
1,17,1,313,87,1,52
1,45,1,96,202,0,202
0,76,0,171,993,0,194
0,19,0,279,317,0,86
1,14,0,159,542,1,206
1,70,0,329,1613,0,36
0,65,0,255,451,1,110
1,34,1,65,991,1,300
1,75,0,120,1125,0,245
0,25,1,93,256,0,256
0,16,1,163,252,1,202
1,81,1,170,1023,1,195
1,69,1,286,1627,1,79
1,35,1,46,286,0,286
0,19,0,139,973,1,226
1,81,1,97,1520,1,268
1,19,1,20,896,1,345
0,78,1,338,973,1,27
0,75,0,172,267,0,193
0,80,1,341,1713,1,24
0,61,1,209,697,0,156
0,18,1,157,96,1,96
0,31,1,332,1163,1,33
0,80,0,341,309,0,24
0,85,0,347,1226,1,18
0,78,1,245,476,0,120
1,23,1,256,114,0,109
0,24,1,232,1019,0,133
0,27,1,119,1069,1,246
0,80,0,245,1794,0,120
1,39,0,77,969,0,288
0,37,0,119,817,0,246
0,52,1,147,451,0,218
0,49,0,231,592,1,134
1,63,1,364,1075,0,1
0,37,1,84,716,1,281
0,54,1,73,1368,0,292
0,80,1,43,1303,1,322
0,19,0,100,6,0,6
1,44,1,347,1112,1,18
0,84,0,311,1664,1,54
1,36,0,223,1265,0,142
1,49,1,161,881,1,204
0,84,1,252,193,1,113
1,72,0,24,732,0,341
0,69,1,18,72,1,72
0,56,1,121,1480,0,244
1,18,1,94,329,0,271
0,84,0,208,1201,1,157
0,85,0,79,541,0,286
0,80,0,338,958,0,27
0,31,0,208,627,0,157
0,83,0,169,773,0,196
1,68,1,250,66,0,66
0,21,1,364,913,0,1
1,81,1,164,1462,1,201
0,25,1,28,472,0,337
0,57,0,218,1113,0,147
0,58,1,364,983,1,1
0,53,1,192,1216,0,173
0,51,1,141,25,1,25
1,54,0,204,48,1,48
1,20,1,209,25,1,25
1,52,1,162,974,0,203
1,75,0,40,19,1,19
0,25,0,248,274,0,117
0,33,1,52,584,0,313
1,47,0,346,465,1,19
1,53,0,239,290,1,126
1,13,0,166,769,1,199
0,50,0,169,545,0,196
0,52,1,294,1335,1,71
0,51,1,174,543,1,191
0,16,0,341,553,0,24
1,69,0,306,1540,1,59
1,46,0,221,181,0,144
1,33,1,28,977,1,337
1,37,0,299,588,0,66
1,29,0,107,1279,0,258
1,72,0,202,619,0,163
0,70,1,226,99,0,99
0,44,1,207,1378,0,158
1,16,0,308,876,0,57
1,76,0,279,1441,0,86
0,36,0,339,282,0,26
1,70,1,165,1314,1,200
0,30,0,270,614,0,95
1,73,1,306,626,0,59
0,64,1,121,546,0,244
0,38,1,255,402,0,110
0,24,1,2,1192,1,363
1,13,0,112,438,1,253
1,85,0,67,1522,1,298
0,56,1,317,1633,1,48
1,41,0,219,1249,0,146
1,56,0,31,13,1,13
1,64,1,351,1039,0,14
1,42,0,2,927,0,363
0,63,1,154,940,0,211
1,29,1,10,435,1,355
1,26,1,247,153,0,118
1,50,1,125,1129,1,240
1,48,0,157,718,1,208
0,85,1,300,1344,1,65
1,45,0,100,68,0,68
1,52,1,327,1336,1,38
0,71,0,199,1501,0,166
1,26,0,300,1039,1,65
1,79,0,115,510,1,250
1,58,1,64,1057,0,301
0,60,0,115,1177,1,250
0,64,1,228,499,1,137
0,23,0,83,746,0,282
0,19,0,111,476,1,254
1,13,0,65,1023,1,300
1,28,1,189,64,1,64
1,35,1,317,1185,1,48
0,19,1,9,798,1,356
0,38,1,281,1504,0,84
0,74,0,236,1749,1,129
0,39,1,302,68,1,63
0,61,0,30,451,1,335
0,72,0,295,131,1,70
0,73,0,266,149,0,99
0,45,1,147,1481,0,218
0,15,1,106,334,1,259
0,55,0,298,431,0,67
1,23,1,207,298,1,158
1,53,0,215,984,1,150
1,60,0,247,1336,1,118
0,17,0,89,528,1,276
1,33,0,49,24,0,24
0,85,0,43,840,0,322
0,15,0,295,726,1,70
0,76,1,92,9,0,9
0,27,0,36,749,1,329
1,64,0,281,96,1,84
0,79,0,63,375,0,302
1,76,0,145,900,1,220
0,67,1,204,1409,1,161
0,63,1,56,981,0,309
1,59,0,233,888,1,132
0,31,1,114,1330,0,251
0,24,1,32,73,1,73
1,41,1,204,350,1,161
0,59,1,121,806,1,244
1,49,0,269,594,0,96
1,80,1,168,1060,0,197
1,40,1,233,662,1,132
1,26,1,84,221,1,221
0,59,0,23,1006,0,342
1,17,0,241,817,1,124
0,25,0,276,44,0,44
1,65,1,75,460,0,290
0,25,0,216,390,1,149
0,76,0,316,10,1,10
1,27,1,52,1081,1,313
1,48,0,318,690,1,47
0,28,1,115,187,0,187
0,26,1,309,533,1,56
0,19,0,67,285,1,285
0,76,1,151,462,1,214
1,75,1,48,251,0,251
0,56,1,242,858,1,123
1,16,0,191,467,1,174
1,49,0,364,106,0,1
1,58,0,262,1077,0,103
1,54,0,239,1305,1,126
0,48,0,323,733,0,42
0,63,0,283,1587,1,82
1,20,1,325,243,1,40
0,82,1,334,1545,0,31
0,29,1,250,1072,0,115
0,52,1,294,322,0,71
1,20,1,46,1282,0,319
0,76,0,307,1540,1,58
0,13,1,327,1057,1,38
0,60,0,30,1300,0,335
1,20,0,252,470,1,113
0,34,0,275,23,0,23
1,47,1,200,447,1,165
1,39,1,87,489,0,278
0,57,1,78,1199,1,287
1,45,0,112,1303,0,253
1,59,1,242,1458,1,123
0,33,1,290,1143,0,75
1,30,1,97,574,1,268
1,31,1,7,1166,0,358
1,75,0,74,787,1,291
0,40,0,301,782,1,64
1,57,0,43,290,1,290
1,15,1,317,773,1,48
1,38,1,109,1219,0,256
0,66,1,159,702,1,206
1,46,1,91,731,1,274
0,26,1,118,1042,1,247
0,56,0,357,242,1,8
0,30,1,191,137,0,137
1,19,1,81,835,1,284
1,56,0,70,62,1,62
1,37,1,203,774,0,162
0,20,1,333,712,1,32
1,47,0,359,1289,0,6
0,20,1,105,434,1,260
1,43,0,305,855,0,60
0,45,0,213,669,1,152
0,22,0,268,594,1,97
0,42,1,305,833,0,60
0,18,0,140,642,0,225
0,22,0,90,281,1,275
0,53,0,86,595,1,279
0,25,1,277,874,0,88
1,69,1,147,326,0,218
1,60,0,244,1,1,1
1,41,1,78,56,0,56
0,57,1,4,1347,1,361
0,66,0,37,29,0,29
1,62,1,50,545,1,315
0,73,0,203,842,0,162
1,59,0,310,1219,0,55
1,73,0,269,470,0,96
1,25,0,135,809,1,230
1,80,1,211,539,0,154
1,78,1,279,517,0,86
0,21,0,95,15,0,15
0,31,0,302,936,0,63
1,41,1,175,184,1,184
0,20,1,21,644,0,344
1,25,1,251,8,0,8
1,85,1,302,1082,0,63
1,76,0,119,682,0,246
0,29,0,170,1153,1,195
1,44,0,23,546,1,342
1,43,0,309,719,1,56
1,21,1,59,996,1,306
0,22,1,1,206,0,206
1,57,0,219,1162,1,146
0,23,0,351,270,1,14
0,25,1,153,563,1,212
1,84,1,177,1671,0,188
0,65,1,323,1461,1,42
1,70,1,129,1133,1,236
1,57,0,44,1110,0,321
0,42,1,281,828,1,84
1,21,0,304,400,0,61
0,55,1,291,275,0,74
1,52,1,96,28,0,28
1,17,0,115,886,1,250
0,81,0,338,1627,1,27
1,38,0,138,1034,1,227
1,41,0,52,1335,1,313
0,38,1,250,177,1,115
0,82,1,169,458,1,196
1,65,0,117,1388,1,248
0,62,0,187,1452,1,178
1,16,0,272,817,0,93
1,75,1,271,1290,0,94
0,51,1,343,876,0,22
1,48,1,363,147,1,2
0,18,1,362,431,0,3
1,36,1,164,1203,1,201
0,33,1,45,871,0,320
0,77,0,346,492,1,19
1,70,1,327,1458,0,38
0,70,0,358,652,1,7
1,34,0,140,788,1,225
1,64,1,203,342,0,162
0,48,1,41,599,0,324
0,63,1,210,1611,0,155
0,48,1,142,1464,0,223
0,81,1,196,696,0,169
1,35,1,77,1313,0,288
1,22,0,349,611,0,16
0,36,0,313,287,0,52
0,73,0,175,863,0,190
1,53,0,181,527,0,184
1,58,0,154,1259,1,211
1,32,0,31,1003,0,334
0,56,1,331,1363,1,34
0,16,1,279,1162,1,86
0,32,0,65,673,0,300
0,58,1,135,700,0,230
1,44,1,264,870,0,101
1,85,0,225,1865,0,140
0,67,0,233,1823,0,132
1,75,0,83,1307,1,282
1,48,1,4,1263,0,361
1,35,0,289,900,0,76
0,24,1,218,537,1,147
0,48,0,340,331,1,25
1,50,0,116,268,0,249
1,36,1,125,741,0,240
1,34,1,130,337,0,235
1,73,1,113,1081,1,252
1,79,0,299,71,1,66
1,31,1,348,1224,0,17
0,65,0,80,627,0,285
1,13,0,44,347,0,321
0,25,1,50,340,0,315
1,73,0,342,1595,1,23
0,56,0,8,181,0,181
0,83,0,104,1259,1,261
0,34,0,286,542,0,79
0,42,0,4,1342,0,361
0,85,1,261,1252,0,104
0,59,0,43,658,0,322
1,56,0,104,1043,0,261
0,13,0,216,84,1,84
1,48,1,193,1118,1,172
0,68,1,53,1674,1,312
1,73,0,6,1655,1,359
0,14,1,304,647,1,61
1,54,0,197,239,0,168
1,42,0,141,958,1,224
1,70,0,5,1044,1,360
0,27,0,363,249,1,2
1,68,1,161,965,0,204
0,30,1,85,856,1,280
1,79,0,17,1719,0,348
0,23,0,305,1149,1,60
0,38,1,353,230,1,12
1,74,1,89,855,1,276
1,41,0,227,765,1,138
1,32,0,49,1025,1,316
0,43,1,288,730,0,77
0,19,0,162,884,0,203
1,68,0,216,1571,0,149
0,62,1,50,1536,1,315
1,14,1,328,404,1,37
1,73,0,261,1043,1,104
0,80,1,73,364,0,292
1,27,0,315,179,0,50
1,42,1,256,1382,1,109
0,13,1,246,171,1,119
0,53,0,105,769,0,260
0,74,0,314,681,0,51
1,31,1,198,255,1,167
1,83,1,156,693,1,209
0,70,1,200,245,0,165
1,35,1,152,1040,1,213
0,13,1,204,1050,1,161
0,77,0,141,3,0,3
0,42,1,147,1277,1,218
0,38,0,143,1227,0,222
0,33,1,155,131,1,131
1,78,1,92,288,1,273
0,65,0,221,856,0,144
0,76,0,28,270,1,270
0,14,1,356,927,1,9
1,75,1,104,1730,1,261
1,74,1,53,1639,1,312
1,49,0,125,250,1,240
0,80,0,137,1245,1,228
1,43,1,169,280,0,196
1,62,0,196,24,1,24
1,62,1,30,1366,1,335
0,29,1,61,1145,1,304
1,41,0,293,242,0,72
1,43,0,300,0,1,0
0,49,1,204,1447,0,161
1,49,0,180,332,0,185
1,85,0,156,1375,0,209
1,24,1,349,65,0,16
1,83,1,332,1675,0,33
0,39,1,170,327,0,195
1,75,1,20,176,1,176
1,53,0,329,1538,1,36
0,73,1,269,1141,0,96
0,66,1,264,953,1,101
1,19,0,206,18,1,18
1,66,0,126,766,0,239
1,55,0,198,893,1,167
1,46,0,109,1332,0,256
0,51,1,327,904,1,38
1,69,1,151,1092,0,214
1,57,0,322,302,1,43
0,40,0,93,53,1,53
0,58,1,311,461,0,54
1,70,1,141,1215,0,224
0,80,0,4,162,1,162
1,28,0,231,1189,1,134
1,33,1,44,531,1,321
0,29,1,287,785,1,78
0,58,1,340,403,0,25
1,71,0,62,462,0,303
1,35,0,355,1259,1,10
0,28,1,103,1125,0,262
1,30,1,195,442,0,170
0,83,0,62,1582,1,303
0,27,0,43,607,0,322
0,57,1,99,1500,1,266
0,19,1,47,994,1,318
0,63,0,99,1563,1,266
1,70,0,196,1589,1,169
0,18,0,115,933,1,250
